Borough,CD,income
Bronx,201,11042
Bronx,202,11042
Bronx,203,11316
Bronx,204,13278
Bronx,205,12640
Bronx,206,11316
Bronx,207,15592
Bronx,208,30705
Bronx,209,18000
Bronx,210,27630
Bronx,211,21208
Bronx,212,19789
Brooklyn,301,27936
Brooklyn,302,46041
Brooklyn,303,19545
Brooklyn,304,16289
Brooklyn,305,15109
Brooklyn,306,54400
Brooklyn,307,19766
Brooklyn,308,25913
Brooklyn,309,19108
Brooklyn,310,29465
Brooklyn,311,22303
Brooklyn,312,16618
Brooklyn,313,21615
Brooklyn,314,21940
Brooklyn,315,26669
Brooklyn,316,15008
Brooklyn,317,21202
Brooklyn,318,25259
Manhattan,101,96931
Manhattan,102,96931
Manhattan,103,33630
Manhattan,104,91816
Manhattan,105,91816
Manhattan,106,84287
Manhattan,107,80648
Manhattan,108,99858
Manhattan,109,26766
Manhattan,110,25310
Manhattan,111,23061
Manhattan,112,21761
Queens,401,28270
Queens,402,27610
Queens,403,19600
Queens,404,19834
Queens,405,25048
Queens,406,38171
Queens,407,25395
Queens,408,27456
Queens,409,23109
Queens,410,24056
Queens,411,33331
Queens,412,20996
Queens,413,28111
Queens,414,23173
Staten Island,501,25668
Staten Island,502,32176
Staten Island,503,35166
